"PublYearMonth","Company","CDU/CSU","SPD","GRUNE","FDP","LINKE","AfD","Uncertain","n","PublDate","collectPeriodFrom","collectPeriodTo","approxPeriod","house"
"2020-feb","Forsa",0.27,0.14,0.24,0.07,0.1,0.1,NA,2504,2020-02-22,2020-02-17,2020-02-21,FALSE,"Forsa"
"2020-feb","Allensbach",0.275,0.145,0.23,0.08,0.095,0.13,NA,1262,2020-02-19,2020-02-01,2020-02-12,FALSE,"Allensbach"
"2020-feb","INSA",0.265,0.145,0.205,0.075,0.095,0.15,NA,2065,2020-02-18,2020-02-14,2020-02-17,FALSE,"INSA"
"2020-feb","Kantar(Emnid)",0.28,0.15,0.2,0.06,0.1,0.15,NA,1886,2020-02-15,2020-02-06,2020-02-12,FALSE,"Kantar(Emnid)"
"2020-feb","Forsa",0.27,0.14,0.24,0.06,0.1,0.11,0.2,2502,2020-02-15,2020-02-10,2020-02-14,FALSE,"Forsa"
"2020-feb","Infratestdimap",0.26,0.16,0.22,0.07,0.09,0.14,NA,1007,2020-02-13,2020-02-11,2020-02-13,FALSE,"Infratestdimap"
"2020-feb","INSA",0.275,0.125,0.22,0.08,0.1,0.14,NA,2086,2020-02-11,2020-02-07,2020-02-10,FALSE,"INSA"
"2020-feb","Kantar(Emnid)",0.28,0.15,0.2,0.08,0.09,0.15,NA,1889,2020-02-09,2020-01-30,2020-02-05,FALSE,"Kantar(Emnid)"
"2020-feb","Forsa",0.28,0.14,0.23,0.08,0.09,0.1,NA,2503,2020-02-08,2020-02-03,2020-02-07,FALSE,"Forsa"
"2020-feb","Forsch’gr.Wahlen",0.27,0.14,0.22,0.06,0.1,0.14,NA,1067,2020-02-07,2020-02-04,2020-02-06,FALSE,"Forsch’gr.Wahlen"
"2020-feb","Forsch’gr.Wahlen",0.3,0.15,0.26,0.05,0.1,0.08,0.14,NA,2020-02-07,NA,NA,FALSE,"Forsch’gr.Wahlen"
