"PublYearMonth","Company","PSOE","PP","VOX","UP","Cs","ERC","CC","Uncertain","n","PublDate","collectPeriodFrom","collectPeriodTo","approxPeriod","house"
"2020-feb","NC Report",0.269,0.222,0.161,0.132,0.056,0.034,0.005,NA,1000,NA,2020-02-06,2020-02-14,FALSE,"NC Report"
"2020-feb","Simple Lógica",0.285,0.176,0.161,0.14,0.079,NA,NA,NA,1073,NA,2020-02-03,2020-02-11,FALSE,"Simple Lógica"
"2020-feb","Celeste-Tel",0.276,0.202,0.169,0.135,0.062,0.033,0.005,NA,1100,NA,2020-02-03,2020-02-07,FALSE,"Celeste-Tel"
"2020-feb","electoPanel",0.272,0.199,0.168,0.134,0.061,0.037,0.005,NA,1490,NA,2020-02-03,2020-02-05,FALSE,"electoPanel"
"2020-feb","electoPanel",0.267,0.198,0.169,0.136,0.068,0.034,0.005,NA,1250,NA,2020-01-30,2020-02-01,FALSE,"electoPanel"
"2020-jan","Invymark",0.297,0.204,0.168,0.135,0.039,NA,NA,NA,NA,NA,2020-01-27,2020-01-31,FALSE,"Invymark"
"2020-jan","SW Demoscopia",0.27,0.194,0.187,0.137,0.047,0.038,0.006,NA,1307,NA,2020-01-27,2020-01-31,FALSE,"SW Demoscopia"
"2020-jan","Metroscopia",0.268,0.205,0.153,0.133,0.061,NA,NA,NA,4237,NA,2020-01-13,2020-01-29,FALSE,"Metroscopia"
"2020-jan","electoPanel",0.263,0.194,0.171,0.137,0.068,0.037,0.005,NA,1250,NA,2020-01-21,2020-01-23,FALSE,"electoPanel"
"2020-jan","KeyData",0.277,0.21,0.156,0.14,0.058,0.034,0.006,NA,NA,NA,2020-01-21,2020-01-21,FALSE,"KeyData"
"2020-jan","SocioMétrica",0.277,0.212,0.163,0.125,0.055,0.036,0.005,NA,1100,NA,2020-01-15,2020-01-18,FALSE,"SocioMétrica"
"2020-jan","Invymark",0.303,0.202,0.166,0.136,0.038,NA,NA,NA,NA,NA,2020-01-13,2020-01-17,FALSE,"Invymark"
"2020-jan","NC Report",0.267,0.221,0.161,0.134,0.054,0.033,0.005,NA,1000,NA,2020-01-07,2020-01-17,FALSE,"NC Report"
"2020-jan","electoPanel",0.264,0.191,0.169,0.14,0.072,0.037,0.005,NA,2500,NA,2020-01-13,2020-01-15,FALSE,"electoPanel"
"2020-jan","CIS (Kiko Llaneras)",0.28,0.22,0.145,0.125,0.07,NA,NA,NA,2929,NA,2020-01-02,2020-01-13,FALSE,"CIS (Kiko Llaneras)"
"2020-jan","CIS (SocioMétrica)",0.274,0.217,0.144,0.131,0.071,0.035,0.004,NA,2929,NA,2020-01-02,2020-01-13,FALSE,"CIS (SocioMétrica)"
"2020-jan","CIS",0.304,0.199,0.134,0.138,0.065,0.039,0.003,NA,2929,NA,2020-01-02,2020-01-13,FALSE,"CIS"
"2020-jan","Simple Lógica",0.265,0.203,0.144,0.155,0.079,NA,NA,NA,1097,NA,2020-01-07,2020-01-10,FALSE,"Simple Lógica"
"2020-jan","Invymark",0.299,0.207,0.164,0.133,0.04,NA,NA,NA,NA,NA,2020-01-07,2020-01-10,FALSE,"Invymark"
"2020-jan","GAD3",0.263,0.232,0.15,0.124,0.073,NA,NA,NA,1000,NA,2020-01-07,2020-01-10,FALSE,"GAD3"
"2020-jan","Celeste-Tel",0.27,0.203,0.164,0.139,0.061,0.032,0.005,NA,1100,NA,2020-01-02,2020-01-09,FALSE,"Celeste-Tel"
"2020-jan","electoPanel",0.266,0.191,0.171,0.14,0.068,0.036,0.005,NA,1250,NA,2020-01-07,2020-01-08,FALSE,"electoPanel"
"2020-jan","SW Demoscopia",0.269,0.195,0.186,0.133,0.049,0.037,0.006,NA,1304,NA,2020-12-30,2020-01-02,FALSE,"SW Demoscopia"
"2020-jan","electoPanel",0.268,0.199,0.167,0.142,0.066,0.034,0.005,NA,1250,NA,2020-12-29,2020-01-02,FALSE,"electoPanel"
"2019-dec","electoPanel",0.266,0.204,0.162,0.137,0.068,0.033,0.005,NA,1250,NA,2019-12-25,2019-12-28,FALSE,"electoPanel"
"2019-dec","Sigma Dos",0.275,0.201,0.16,0.154,0.048,0.035,NA,NA,1000,NA,2019-12-26,2019-12-27,FALSE,"Sigma Dos"
"2019-dec","KeyData",0.264,0.204,0.15,0.128,0.06,0.034,0.005,NA,NA,NA,2019-12-23,2019-12-23,FALSE,"KeyData"
"2019-dec","SocioMétrica",0.272,0.216,0.162,0.126,0.058,0.038,0.006,NA,2160,NA,2019-12-20,2019-12-21,FALSE,"SocioMétrica"
"2019-dec","electoPanel",0.267,0.201,0.166,0.134,0.073,0.033,0.005,NA,1250,NA,2019-12-17,2019-12-19,FALSE,"electoPanel"
"2019-dec","CIS",0.283,0.2,0.152,0.128,0.056,0.036,0.005,NA,4800,NA,2019-11-29,2019-12-19,FALSE,"CIS"
"2019-dec","NC Report",0.271,0.216,0.156,0.131,0.058,0.035,0.005,NA,1000,NA,2019-12-10,2019-12-13,FALSE,"NC Report"
"2019-dec","Invymark",0.288,0.216,0.164,0.137,0.039,NA,NA,NA,NA,NA,2019-12-09,2019-12-13,FALSE,"Invymark"
"2019-dec","electoPanel",0.266,0.196,0.166,0.137,0.076,0.032,0.005,NA,1250,NA,2019-12-10,2019-12-12,FALSE,"electoPanel"
"2019-dec","Simple Lógica",0.27,0.205,0.138,0.164,0.064,NA,NA,NA,1064,NA,2019-12-02,2019-12-12,FALSE,"Simple Lógica"
"2019-dec","electoPanel",0.268,0.195,0.165,0.138,0.071,0.031,0.005,NA,1250,NA,2019-12-03,2019-12-05,FALSE,"electoPanel"
"2019-nov","electoPanel",0.263,0.193,0.167,0.136,0.077,0.035,0.005,NA,1250,NA,2019-11-21,2019-11-27,FALSE,"electoPanel"
"2019-nov","GAD3",0.277,0.23,0.141,0.13,0.065,0.034,0.005,NA,NA,NA,2019-11-19,2019-11-27,FALSE,"GAD3"
"2019-nov","electoPanel",0.264,0.201,0.163,0.136,0.073,0.036,0.005,NA,1250,NA,2019-11-13,2019-11-20,FALSE,"electoPanel"
"2019-nov","electoPanel",0.275,0.214,0.156,0.137,0.058,0.036,0.005,NA,1510,NA,2019-11-12,2019-11-12,FALSE,"electoPanel"
"2019-nov","NC Report",0.269,0.214,0.136,0.125,0.089,0.038,0.007,NA,NA,NA,2019-11-10,2019-11-10,FALSE,"NC Report"
"2019-nov","SocioMétrica",0.261,0.199,0.141,0.14,0.078,0.035,0.004,NA,4000,NA,2019-11-09,2019-11-10,FALSE,"SocioMétrica"
"2019-nov","Celeste-Tel",0.274,0.208,0.135,0.129,0.085,0.036,0.008,NA,1100,NA,2019-11-08,2019-11-10,FALSE,"Celeste-Tel"
"2019-nov","GAD3",0.273,0.201,0.163,0.122,0.085,0.035,0.005,NA,13000,NA,2019-10-25,2019-11-10,FALSE,"GAD3"
"2019-nov","GESOP",0.267,0.194,0.149,0.143,0.079,0.026,NA,NA,903,NA,2019-11-07,2019-11-09,FALSE,"GESOP"
"2019-nov","electoPanel",0.271,0.204,0.155,0.137,0.073,0.037,0.007,NA,1250,NA,2019-11-07,2019-11-08,FALSE,"electoPanel"
"2019-nov","GESOP",0.263,0.19,0.156,0.14,0.075,0.027,NA,NA,903,NA,2019-11-06,2019-11-08,FALSE,"GESOP"
"2019-nov","Demoscopia Servicios",0.266,0.209,0.157,0.132,0.072,0.041,0.006,NA,NA,NA,2019-11-07,2019-11-07,FALSE,"Demoscopia Servicios"
"2019-nov","electoPanel",0.273,0.201,0.152,0.135,0.078,0.037,0.007,NA,1250,NA,2019-11-06,2019-11-07,FALSE,"electoPanel"
"2019-nov","GESOP",0.269,0.201,0.156,0.134,0.065,0.027,NA,NA,904,NA,2019-11-05,2019-11-07,FALSE,"GESOP"
"2019-nov","PSOE",0.3,NA,0.15,0,0.07,NA,NA,NA,NA,NA,2019-11-06,2019-11-06,FALSE,"PSOE"
"2019-nov","electoPanel",0.273,0.202,0.148,0.131,0.081,0.037,0.007,NA,1250,NA,2019-11-05,2019-11-06,FALSE,"electoPanel"
"2019-nov","Hamalgama Métrica",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2019-11-04,2019-11-06,FALSE,"Hamalgama Métrica"
"2019-nov","GESOP",0.268,0.199,0.156,0.13,0.07,0.03,NA,NA,905,NA,2019-11-04,2019-11-06,FALSE,"GESOP"
"2019-nov","electoPanel",0.271,0.204,0.147,0.128,0.084,0.038,0.007,NA,1250,NA,2019-11-04,2019-11-05,FALSE,"electoPanel"
"2019-nov","GESOP",0.268,0.19,0.156,0.126,0.078,0.033,NA,NA,904,NA,2019-11-03,2019-11-05,FALSE,"GESOP"
"2019-nov","KeyData",0.274,0.211,0.125,0.127,0.095,0.038,0.005,NA,NA,NA,2019-11-04,2019-11-04,FALSE,"KeyData"
"2019-nov","electoPanel",0.272,0.208,0.141,0.128,0.087,0.039,0.006,NA,1250,NA,2019-11-03,2019-11-04,FALSE,"electoPanel"
"2019-nov","GESOP",0.266,0.19,0.15,0.128,0.082,0.036,NA,NA,861,NA,2019-10-31,2019-11-04,FALSE,"GESOP"
"2019-nov","GI Internacional",0.285,0.212,0.095,0.132,0.095,0.042,0.002,NA,NA,NA,2019-11-03,2019-11-03,FALSE,"GI Internacional"
"2019-nov","electoPanel",0.271,0.212,0.136,0.125,0.085,0.04,0.006,NA,1250,NA,2019-11-02,2019-11-03,FALSE,"electoPanel"
"2019-nov","Infortécnica",NA,NA,NA,0,NA,NA,NA,NA,1586,NA,2019-11-02,2019-11-02,FALSE,"Infortécnica"
"2019-nov","electoPanel",0.275,0.214,0.131,0.126,0.088,NA,NA,NA,1250,NA,2019-11-01,2019-11-02,FALSE,"electoPanel"
"2019-nov","SocioMétrica",0.251,0.206,0.143,0.129,0.085,0.035,0.006,NA,1100,NA,2019-10-31,2019-11-02,FALSE,"SocioMétrica"
"2019-nov","Demoscopia Servicios",0.273,0.221,0.127,0.128,0.092,NA,NA,NA,NA,NA,2019-10-30,2019-11-02,FALSE,"Demoscopia Servicios"
"2019-nov","IMOP",0.28,0.196,0.139,0.115,0.101,NA,NA,NA,1639,NA,2019-10-29,2019-11-02,FALSE,"IMOP"
"2019-nov","SW Demoscopia",0.285,0.203,0.137,0.12,0.088,0.04,NA,NA,1517,NA,2019-10-28,2019-11-02,FALSE,"SW Demoscopia"
"2019-nov","electoPanel",0.275,0.216,0.125,0.125,0.092,0.04,0.006,NA,1250,NA,2019-10-31,2019-11-01,FALSE,"electoPanel"
"2019-oct","electoPanel",0.276,0.214,0.125,0.125,0.09,NA,NA,NA,1250,NA,2019-10-30,2019-10-31,FALSE,"electoPanel"
"2019-oct","Hamalgama Métrica",0.272,0.222,0.128,0.127,0.088,0.039,0.007,NA,1000,NA,2019-10-29,2019-10-31,FALSE,"Hamalgama Métrica"
"2019-oct","Sondaxe",0.265,0.204,0.126,0.121,0.093,0.041,0.005,NA,1001,NA,2019-10-28,2019-10-31,FALSE,"Sondaxe"
"2019-oct","GESOP",0.277,0.195,0.142,0.134,0.08,0.036,NA,NA,1504,NA,2019-10-28,2019-10-31,FALSE,"GESOP"
"2019-oct","Invymark",0.279,0.22,0.105,0.118,0.099,NA,NA,NA,NA,NA,2019-10-28,2019-10-31,FALSE,"Invymark"
"2019-oct","Celeste-Tel",0.276,0.219,0.12,0.129,0.092,0.039,0.008,NA,1100,NA,2019-10-25,2019-10-31,FALSE,"Celeste-Tel"
"2019-oct","Sigma Dos",0.279,0.203,0.132,0.135,0.089,0.04,NA,NA,1800,NA,2019-10-24,2019-10-31,FALSE,"Sigma Dos"
"2019-oct","NC Report",0.273,0.227,0.122,0.121,0.088,0.039,NA,NA,NA,NA,2019-10-14,2019-10-31,FALSE,"NC Report"
"2019-oct","GAD3",0.274,0.216,0.149,0.112,0.08,0.035,0.004,NA,7900,NA,2019-10-14,2019-10-31,FALSE,"GAD3"
"2019-oct","electoPanel",0.27,0.217,0.127,0.125,0.089,0.04,0.006,NA,1250,NA,2019-10-29,2019-10-30,FALSE,"electoPanel"
"2019-oct","DYM",0.268,0.194,0.136,0.125,0.1,NA,NA,NA,1005,NA,2019-10-25,2019-10-30,FALSE,"DYM"
"2019-oct","PSOE",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2019-10-29,2019-10-29,FALSE,"PSOE"
