"PublYearMonth","Company","PSOE","PP","VOX","UP","Cs","ERC","CC","Uncertain","n","PublDate","collectPeriodFrom","collectPeriodTo","approxPeriod","house"
"2020-feb","NC Report",0.269,0.222,0.161,0.132,0.056,0.034,0.005,NA,1000,2020-02-15,2020-02-06,2020-02-14,FALSE,"NC Report"
"2020-feb","Simple Lógica",0.285,0.176,0.161,0.14,0.079,NA,NA,NA,1073,2020-02-12,2020-02-03,2020-02-11,FALSE,"Simple Lógica"
"2020-feb","Celeste-Tel",0.276,0.202,0.169,0.135,0.062,0.033,0.005,NA,1100,2020-02-08,2020-02-03,2020-02-07,FALSE,"Celeste-Tel"
"2020-jan","Invymark",0.297,0.204,0.168,0.135,0.039,NA,NA,NA,NA,2020-02-01,2020-01-27,2020-01-31,FALSE,"Invymark"
"2020-jan","Metroscopia",0.268,0.205,0.153,0.133,0.061,NA,NA,NA,4237,2020-01-30,2020-01-13,2020-01-29,FALSE,"Metroscopia"
"2020-jan","SocioMétrica",0.277,0.212,0.163,0.125,0.055,0.036,0.005,NA,1100,2020-01-19,2020-01-15,2020-01-18,FALSE,"SocioMétrica"
"2020-jan","Invymark",0.303,0.202,0.166,0.136,0.038,NA,NA,NA,NA,2020-01-18,2020-01-13,2020-01-17,FALSE,"Invymark"
"2020-jan","NC Report",0.267,0.221,0.161,0.134,0.054,0.033,0.005,NA,1000,2020-01-18,2020-01-07,2020-01-17,FALSE,"NC Report"
"2020-jan","CIS (Kiko Llaneras)",0.28,0.22,0.145,0.125,0.07,NA,NA,NA,2929,2020-01-14,2020-01-02,2020-01-13,FALSE,"CIS (Kiko Llaneras)"
"2020-jan","CIS (SocioMétrica)",0.274,0.217,0.144,0.131,0.071,0.035,0.004,NA,2929,2020-01-14,2020-01-02,2020-01-13,FALSE,"CIS (SocioMétrica)"
"2020-jan","CIS",0.304,0.199,0.134,0.138,0.065,0.039,0.003,NA,2929,2020-01-14,2020-01-02,2020-01-13,FALSE,"CIS"
"2020-jan","Simple Lógica",0.265,0.203,0.144,0.155,0.079,NA,NA,NA,1097,2020-01-11,2020-01-07,2020-01-10,FALSE,"Simple Lógica"
"2020-jan","Invymark",0.299,0.207,0.164,0.133,0.04,NA,NA,NA,NA,2020-01-11,2020-01-07,2020-01-10,FALSE,"Invymark"
"2020-jan","GAD3",0.263,0.232,0.15,0.124,0.073,NA,NA,NA,1000,2020-01-11,2020-01-07,2020-01-10,FALSE,"GAD3"
"2020-jan","Celeste-Tel",0.27,0.203,0.164,0.139,0.061,0.032,0.005,NA,1100,2020-01-10,2020-01-02,2020-01-09,FALSE,"Celeste-Tel"
"2019-dec","Sigma Dos",0.275,0.201,0.16,0.154,0.048,0.035,NA,NA,1000,2019-12-28,2019-12-26,2019-12-27,FALSE,"Sigma Dos"
"2019-dec","SocioMétrica",0.272,0.216,0.162,0.126,0.058,0.038,0.006,NA,2160,2019-12-22,2019-12-20,2019-12-21,FALSE,"SocioMétrica"
"2019-dec","CIS",0.283,0.2,0.152,0.128,0.056,0.036,0.005,NA,4800,2019-12-20,2019-11-29,2019-12-19,FALSE,"CIS"
"2019-dec","NC Report",0.271,0.216,0.156,0.131,0.058,0.035,0.005,NA,1000,2019-12-14,2019-12-10,2019-12-13,FALSE,"NC Report"
"2019-dec","Invymark",0.288,0.216,0.164,0.137,0.039,NA,NA,NA,NA,2019-12-14,2019-12-09,2019-12-13,FALSE,"Invymark"
"2019-dec","Simple Lógica",0.27,0.205,0.138,0.164,0.064,NA,NA,NA,1064,2019-12-13,2019-12-02,2019-12-12,FALSE,"Simple Lógica"
"2019-nov","GAD3",0.277,0.23,0.141,0.13,0.065,0.034,0.005,NA,NA,2019-11-28,2019-11-19,2019-11-27,FALSE,"GAD3"
"2019-nov","NC Report",0.269,0.214,0.136,0.125,0.089,0.038,0.007,NA,NA,2019-11-11,2019-11-10,2019-11-10,FALSE,"NC Report"
"2019-nov","SocioMétrica",0.261,0.199,0.141,0.14,0.078,0.035,0.004,NA,4000,2019-11-11,2019-11-09,2019-11-10,FALSE,"SocioMétrica"
"2019-nov","Celeste-Tel",0.274,0.208,0.135,0.129,0.085,0.036,0.008,NA,1100,2019-11-11,2019-11-08,2019-11-10,FALSE,"Celeste-Tel"
"2019-nov","GAD3",0.273,0.201,0.163,0.122,0.085,0.035,0.005,NA,13000,2019-11-11,2019-10-25,2019-11-10,FALSE,"GAD3"
"2019-nov","GESOP",0.267,0.194,0.149,0.143,0.079,0.026,NA,NA,903,2019-11-10,2019-11-07,2019-11-09,FALSE,"GESOP"
"2019-nov","GESOP",0.263,0.19,0.156,0.14,0.075,0.027,NA,NA,903,2019-11-09,2019-11-06,2019-11-08,FALSE,"GESOP"
