"PublYearMonth","Company","M","L","C","KD","S","V","MP","SD","FI","Uncertain","n","PublDate","collectPeriodFrom","collectPeriodTo","approxPeriod","house"
"2021-jun","Demoskop",0.221,0.034,0.106,0.068,0.234,0.113,0.033,0.182,NA,NA,2148,2021-06-29,2021-06-23,2021-06-28,FALSE,"Demoskop"
"2021-jun","Novus",0.218,0.025,0.079,0.05,0.255,0.112,0.035,0.214,NA,4.1,2408,2021-06-29,2021-06-21,2021-06-27,FALSE,"Novus"
"2021-jun","Sentio",0.212,0.028,0.079,0.051,0.252,0.102,0.033,0.194,NA,NA,NA,2021-06-29,2021-06-18,2021-06-21,TRUE,"Sentio"
"2021-jun","Ipsos",0.22,0.02,0.1,0.06,0.24,0.12,0.03,0.19,NA,11,1547,2021-06-22,2021-06-08,2021-06-20,FALSE,"Ipsos"
"2021-jun","Sifo",0.224,0.023,0.099,0.051,0.258,0.096,0.035,0.202,NA,11.9,6539,2021-06-18,2021-06-07,2021-06-17,FALSE,"Sifo"
"2021-jun","Novus",0.226,0.023,0.094,0.053,0.261,0.096,0.042,0.192,NA,5.8,4925,2021-06-11,2021-05-03,2021-06-06,FALSE,"Novus"
"2021-jun","Demoskop",0.229,0.036,0.107,0.056,0.242,0.085,0.035,0.192,NA,NA,2730,2021-06-05,2021-05-26,2021-06-02,FALSE,"Demoskop"
"2021-jun","SCB",0.224,0.025,0.095,0.045,0.282,0.089,0.038,0.189,NA,13,3656,2021-06-02,2021-04-28,2021-05-27,FALSE,"SCB"
"2021-maj","Sentio",0.193,0.033,0.07,0.052,0.255,0.103,0.05,0.21,NA,NA,NA,2021-05-31,2021-05-21,2021-05-24,TRUE,"Sentio"
"2021-maj","Ipsos",0.22,0.03,0.09,0.05,0.26,0.1,0.04,0.2,NA,13,2055,2021-05-29,2021-05-13,2021-05-25,TRUE,"Ipsos"
"2021-maj","Sifo",0.217,0.029,0.093,0.052,0.269,0.096,0.04,0.188,NA,12.7,8964,2021-05-14,2021-05-03,2021-05-13,FALSE,"Sifo"
"2021-maj","Demoskop",0.231,0.032,0.118,0.052,0.254,0.069,0.041,0.19,NA,NA,2651,2021-05-11,2021-04-28,2021-05-05,FALSE,"Demoskop"
"2021-apr","Sentio",0.212,0.025,0.067,0.056,0.254,0.102,0.046,0.214,NA,NA,NA,2021-04-28,2021-04-23,2021-04-26,TRUE,"Sentio"
"2021-apr","Ipsos",0.22,0.03,0.09,0.05,0.26,0.1,0.04,0.19,NA,13,2055,2021-04-28,2021-04-13,2021-04-25,FALSE,"Ipsos"
"2021-apr","Sifo",0.213,0.031,0.089,0.048,0.278,0.094,0.043,0.189,NA,13.6,6796,2021-04-12,2021-03-01,2021-03-11,FALSE,"Sifo"
"2021-apr","Demoskop",0.228,0.037,0.098,0.052,0.254,0.084,0.033,0.192,NA,NA,2651,2021-04-09,2021-03-30,2021-04-07,FALSE,"Demoskop"
"2021-apr","Novus",0.226,0.029,0.084,0.042,0.276,0.095,0.045,0.187,NA,5,4984,2021-04-08,2021-03-01,2021-04-04,FALSE,"Novus"
"2021-apr","Sentio",0.201,0.031,0.06,0.059,0.265,0.089,0.05,0.222,NA,NA,NA,2021-04-07,2021-03-26,2021-03-29,TRUE,"Sentio"
"2021-mar","Ipsos",0.2178218,0.02970297,0.08910891,0.03960396,0.2673267,0.1089109,0.03960396,0.1980198,NA,13,1540,2021-03-24,2021-03-09,2021-03-21,FALSE,"Ipsos"
"2021-mar","Sifo",0.229,0.029,0.088,0.044,0.272,0.097,0.042,0.184,NA,13.8,7711,2021-03-12,2021-03-01,2021-03-11,FALSE,"Sifo"
"2021-mar","Sentio",0.217,0.031,0.073,0.06,0.254,0.101,0.033,0.207,NA,NA,NA,2021-03-08,2021-02-25,2021-02-28,TRUE,"Sentio"
"2021-mar","Demoskop",0.245,0.027,0.099,0.058,0.242,0.093,0.031,0.182,NA,NA,2314,2021-03-05,2021-02-26,2021-03-03,FALSE,"Demoskop"
"2021-mar","Novus",0.24,0.033,0.083,0.041,0.27,0.095,0.044,0.179,NA,NA,3716,2021-03-04,2021-02-01,2021-02-28,FALSE,"Novus"
"2021-feb","Skop",0.245,0.024,0.1,0.046,0.274,0.102,0.04,0.155,NA,4,1000,2021-03-01,2021-02-19,2021-02-23,FALSE,"Skop"
"2021-feb","Ipsos",0.23,0.03,0.09,0.05,0.27,0.09,0.04,0.19,NA,NA,1503,2021-02-24,2021-02-18,2021-02-23,TRUE,"Ipsos"
"2021-feb","Sifo",0.235,0.028,0.081,0.043,0.276,0.1,0.036,0.188,NA,13.4,6704,2021-02-12,2021-02-01,2021-02-11,FALSE,"Sifo"
"2021-feb","Demoskop",0.232,0.031,0.096,0.065,0.247,0.094,0.035,0.183,NA,NA,2184,2021-02-05,2021-01-26,2021-02-03,FALSE,"Demoskop"
"2021-feb","Novus",0.231,0.027,0.085,0.047,0.269,0.108,0.041,0.181,NA,NA,2887,2021-02-03,2021-01-11,2021-01-31,FALSE,"Novus"
"2021-jan","Sentio",0.207,0.022,0.058,0.052,0.263,0.107,0.036,0.233,NA,NA,1000,2021-01-31,2021-01-28,2021-01-31,FALSE,"Sentio"
"2021-jan","Ipsos",0.22,0.03,0.08,0.05,0.27,0.1,0.04,0.19,NA,11,1500,2021-01-27,2021-01-21,2021-01-25,TRUE,"Ipsos"
"2021-jan","Sifo",0.224,0.032,0.081,0.049,0.276,0.1,0.037,0.186,NA,13,6947,2021-01-22,2021-01-11,2021-01-21,FALSE,"Sifo"
"2021-jan","Demoskop",0.232,0.023,0.092,0.059,0.23,0.099,0.05,0.195,NA,NA,2095,2021-01-13,2020-12-29,2021-01-11,FALSE,"Demoskop"
"2021-jan","Novus",0.218,0.026,0.083,0.046,0.285,0.095,0.04,0.194,NA,NA,2935,2021-01-12,2021-01-01,2021-01-12,TRUE,"Novus"
"2020-dec","Skop",0.218,0.027,0.085,0.065,0.261,0.112,0.04,0.182,NA,3,1004,2020-12-16,2020-11-30,2020-12-03,FALSE,"Skop"
"2020-dec","Sentio",0.221,0.026,0.06,0.048,0.241,0.113,0.032,0.232,NA,NA,NA,2020-12-21,2020-12-11,2020-12-14,TRUE,"Sentio"
"2020-dec","Ipsos",0.2277228,0.02970297,0.06930693,0.04950495,0.2574257,0.1089109,0.04950495,0.1980198,NA,11,1500,2020-12-15,2020-11-28,2020-12-12,TRUE,"Ipsos"
"2020-dec","Sifo",0.217,0.03,0.077,0.053,0.278,0.103,0.037,0.189,NA,12.6,7349,2020-12-11,2020-11-20,2020-12-06,FALSE,"Sifo"
"2020-dec","Novus",0.217,0.027,0.082,0.054,0.28,0.097,0.041,0.185,NA,NA,3813,2020-12-10,2020-11-09,2020-12-06,FALSE,"Novus"
"2020-dec","Demoskop",0.232,0.028,0.094,0.057,0.25,0.093,0.036,0.196,NA,NA,2278,2020-12-13,2020-11-26,2020-12-02,FALSE,"Demoskop"
"2020-dec","SCB",0.221,0.03,0.076,0.054,0.294,0.093,0.042,0.176,NA,14,4692,2020-12-02,2020-11-02,2020-11-26,FALSE,"SCB"
"2020-nov","Sentio",0.198,0.033,0.058,0.059,0.233,0.099,0.033,0.252,NA,NA,NA,2020-11-18,2020-11-12,2020-11-16,FALSE,"Sentio"
"2020-nov","Ipsos",0.21,0.03,0.09,0.05,0.26,0.11,0.04,0.2,NA,13,1541,2020-11-24,2020-11-10,2020-11-22,FALSE,"Ipsos"
"2020-nov","Sifo",0.208,0.032,0.076,0.057,0.27,0.102,0.042,0.199,NA,NA,NA,2020-11-13,2020-11-01,2020-11-12,TRUE,"Sifo"
"2020-nov","Novus",0.22,0.027,0.086,0.05,0.264,0.106,0.039,0.194,NA,6.1,3783,2020-11-12,2020-10-12,2020-11-08,FALSE,"Novus"
"2020-nov","Demoskop",0.224,0.031,0.092,0.069,0.24,0.094,0.034,0.199,NA,NA,2200,2020-11-06,2020-10-27,2020-11-04,FALSE,"Demoskop"
"2020-okt","Skop",0.211,0.033,0.091,0.059,0.26,0.121,0.031,0.178,NA,2,1000,2020-10-28,2020-10-23,2020-10-26,FALSE,"Skop"
"2020-okt","Ipsos",0.2079208,0.02970297,0.08910891,0.05940594,0.2475248,0.1089109,0.04950495,0.1980198,NA,11,1501,2020-10-28,2020-10-11,2020-10-23,TRUE,"Ipsos"
"2020-okt","Sentio",0.188,0.028,0.065,0.059,0.248,0.097,0.046,0.241,NA,NA,NA,2020-10-26,2020-10-15,2020-10-18,TRUE,"Sentio"
"2020-okt","Sifo",0.206,0.032,0.077,0.059,0.264,0.1,0.043,0.202,NA,13.4,7299,2020-10-16,2020-10-05,2020-10-15,FALSE,"Sifo"
"2020-okt","Novus",0.207,0.034,0.084,0.057,0.265,0.096,0.052,0.192,NA,5.8,3878,2020-10-15,2020-09-14,2020-10-11,FALSE,"Novus"
"2020-okt","Demoskop",0.211,0.034,0.094,0.067,0.25,0.092,0.035,0.199,NA,NA,2722,2020-10-09,2020-10-01,2020-10-07,FALSE,"Demoskop"
"2020-sep","Sentio",0.197,0.03,0.075,0.071,0.251,0.086,0.039,0.224,NA,NA,NA,2020-09-25,2020-09-16,2020-09-22,TRUE,"Sentio"
"2020-sep","Sifo",0.206,0.035,0.082,0.062,0.275,0.089,0.038,0.198,NA,11.7,5029,2020-09-18,2020-09-07,2020-09-17,FALSE,"Sifo"
"2020-sep","Novus",0.212,0.032,0.078,0.057,0.27,0.093,0.043,0.196,NA,6.6,3082,2020-09-17,2020-08-24,2020-09-13,FALSE,"Novus"
"2020-sep","Sentio",0.203,0.028,0.051,0.054,0.267,0.1,0.05,0.224,NA,NA,NA,2020-09-22,2020-09-17,2020-09-20,TRUE,"Sentio"
"2020-sep","Demoskop",0.222,0.031,0.092,0.053,0.261,0.075,0.032,0.216,NA,NA,2366,2020-09-04,2020-08-25,2020-09-01,FALSE,"Demoskop"
"2020-aug","Novus",0.212,0.029,0.076,0.058,0.283,0.093,0.038,0.194,NA,6.3,3804,2020-08-27,2020-08-03,2020-08-23,FALSE,"Novus"
"2020-aug","Ipsos",0.2,0.03,0.07,0.06,0.27,0.1,0.04,0.21,NA,11,1501,2020-08-25,2020-08-11,2020-08-23,FALSE,"Ipsos"
"2020-aug","Sifo",0.203,0.042,0.078,0.064,0.278,0.092,0.036,0.197,NA,13.4,6094,2020-08-21,2020-08-10,2020-08-20,FALSE,"Sifo"
"2020-aug","Demoskop",0.216,0.033,0.088,0.056,0.273,0.068,0.034,0.205,NA,NA,2705,2020-08-07,2020-07-28,2020-08-04,FALSE,"Demoskop"
"2020-aug","Sentio",0.203,0.028,0.051,0.054,0.267,0.1,0.05,0.224,NA,NA,NA,2020-09-04,2020-08-20,2020-08-25,TRUE,"Sentio"
"2020-aug","Skop",0.211,0.037,0.08,0.059,0.282,0.104,0.034,0.179,NA,4,1010,2020-08-06,2020-07-23,2020-07-28,FALSE,"Skop"
"2020-jul","Sentio",0.203,0.025,0.058,0.057,0.255,0.085,0.051,0.241,NA,NA,NA,2020-07-16,2020-07-10,2020-07-12,TRUE,"Sentio"
"2020-jul","Demoskop",0.208,0.032,0.084,0.057,0.285,0.078,0.041,0.197,NA,NA,2226,2020-07-11,2020-06-30,2020-07-07,FALSE,"Demoskop"
"2020-jun","Novus",0.207,0.03,0.078,0.057,0.306,0.094,0.034,0.184,NA,6.4,3811,2020-06-25,2020-05-25,2020-06-21,FALSE,"Novus"
"2020-jun","Sentio",0.186,0.029,0.064,0.059,0.288,0.097,0.039,0.207,NA,NA,NA,2020-06-24,2020-06-12,2020-06-15,TRUE,"Sentio"
"2020-jun","Ipsos",0.17,0.04,0.07,0.07,0.31,0.09,0.03,0.2,NA,11,1501,2020-06-23,2020-06-02,2020-06-15,TRUE,"Ipsos"
"2020-jun","Sifo",0.195,0.034,0.07,0.068,0.3,0.096,0.035,0.189,NA,12.3,7578,2020-06-12,2020-06-01,2020-06-11,FALSE,"Sifo"
"2020-jun","Skop",0.203,0.036,0.066,0.058,0.313,0.105,0.037,0.17,NA,3,1000,2020-06-04,2020-05-31,2020-06-03,FALSE,"Skop"
"2020-jun","Demoskop",0.209,0.027,0.097,0.065,0.278,0.082,0.039,0.193,NA,NA,2437,2020-06-06,2020-05-26,2020-06-03,FALSE,"Demoskop"
"2020-jun","SCB",0.201,0.033,0.06,0.064,0.337,0.082,0.041,0.171,NA,12,4888,2020-06-08,2020-04-29,2020-05-27,FALSE,"SCB"
"2020-maj","Novus",0.192,0.03,0.081,0.055,0.315,0.094,0.041,0.18,NA,6,3976,2020-05-28,2020-04-27,2020-05-24,FALSE,"Novus"
"2020-maj","Sentio",0.194,0.031,0.047,0.078,0.282,0.092,0.035,0.222,NA,NA,NA,2020-05-26,2020-05-15,2020-05-18,TRUE,"Sentio"
"2020-maj","Ipsos",0.1980198,0.02970297,0.06930693,0.05940594,0.3069307,0.08910891,0.03960396,0.1980198,NA,11,1544,2020-05-26,2020-05-15,2020-05-22,FALSE,"Ipsos"
"2020-maj","Sifo",0.186,0.034,0.072,0.061,0.317,0.09,0.039,0.189,NA,12.7,7310,2020-05-15,2020-05-04,2020-05-14,FALSE,"Sifo"
"2020-maj","Demoskop",0.207,0.027,0.1,0.065,0.301,0.072,0.033,0.188,NA,NA,1544,2020-05-08,2020-04-28,2020-05-05,FALSE,"Demoskop"
"2020-maj","Skop",0.204,0.044,0.07,0.052,0.326,0.097,0.026,0.163,NA,2,1019,2020-05-11,2020-04-30,2020-05-05,FALSE,"Skop"
"2020-apr","Ipsos",0.18,0.04,0.07,0.06,0.29,0.09,0.04,0.21,NA,11,1544,2020-04-30,2020-04-14,2020-04-26,FALSE,"Ipsos"
"2020-apr","Sentio",0.187,0.034,0.058,0.054,0.275,0.09,0.041,0.242,NA,NA,1005,2020-04-28,2020-04-17,2020-04-21,FALSE,"Sentio"
"2020-apr","Novus",0.187,0.028,0.077,0.061,0.304,0.095,0.038,0.197,NA,6.3,3737,2020-04-23,2020-03-30,2020-04-19,FALSE,"Novus"
"2020-apr","Sifo",0.192,0.038,0.069,0.059,0.306,0.094,0.035,0.195,NA,12.1,6886,2020-04-09,2020-03-29,2020-04-08,TRUE,"Sifo"
"2020-apr","Demoskop",0.192,0.03,0.1,0.067,0.279,0.077,0.04,0.208,NA,NA,2453,2020-04-03,2020-03-25,2020-04-01,FALSE,"Demoskop"
"2020-mar","Sentio",0.195,0.023,0.071,0.071,0.22,0.105,0.052,0.249,NA,NA,NA,2020-03-26,2020-03-20,2020-03-24,TRUE,"Sentio"
